"author","influenced"
"Herman Melville","Thomas Browne|Owen Chase|Luís de Camões|Albert Camus|Paul Auster|William Faulkner|Cormac McCarthy|D. H. Lawrence|Jeff Smith (cartoonist)"
"William Wordsworth","Henry Vaughan|David Hartley (philosopher)|Robert Burns"
"António Augusto Soares de Passos","Almeida Garrett|Alexandre Herculano"
"Mirza Mazhar Jan-e-Janaan","Qadi Thanaullah Panipati|Ibn Abidin|Ghulam Ali Dihlawi"
"Andre Dubus III","Thomas Williams (writer)|Andre Dubus"
"Ursula Nordstrom","Maurice Sendak|Margaret Wise Brown"
"Ford Madox Ford","Joseph Conrad|Robie Macauley|Anthony Burgess|Ezra Pound|J. M. Coetzee|Julian Barnes"
"Khin Hnin Yu","Khin Khin Htoo"
"John Dewey","Thorstein Veblen"
"Amado Nervo","Alfonsina Storni|Ramón López Velarde"
"Charles Olson","William Carlos Williams|New York School (art)|San Francisco Renaissance|Black Mountain College"
"Robert Gover","Christopher Klim"
"Martin Knutzen","Immanuel Kant|Johann Georg Hamann"
"Kalanos","Alexander the Great"
"Vishwanath Kashinath Rajwade","Datto Vaman Potdar"
"Edwin Way Teale","Maurice Maeterlinck|John F. Kieran|Roger Tory Peterson"
"Larry Niven","Robert A. Heinlein"
"Fernando González (writer)","Gonzalo Arango|Estanislao Zuleta"
"Hushang Irani","The New Poetry|Ahmadreza Ahmadi|Yadollah Royaee|Ahmad Shamloo"
"Zora Neale Hurston","Joel Chandler Harris"
"Jan Kasprowicz","Percy Bysshe Shelley|Francis Jammes"
"James Whitcomb Riley","Frank Lebby Stanton|Robert Burns"
"Shirlee Busbee","Rosemary Rogers"
"Donna Williams","Henriett Seth F."
"Sheldon Wolin","Norman Finkelstein|John Schaar|Chris Hedges|Norm Jacobson|Cornel West|Stanley Hauerwas|Hanna Fenichel Pitkin|Wendy Brown (political scientist)|Michael Lerner (rabbi)|Frederick M. Dolan"
"Amy Hempel","Rick Moody|Chuck Palahniuk"
"Elizabeth Bishop","Sylvia Plath|Alice Dayrell Caldeira Brant|Derek Walcott|James Merrill|Robert Lowell"
"F. A. Nettelbeck","Greg Hall (poet)"
"Friedrich Wilhelm Carové","Georg Wilhelm Friedrich Hegel"
"Mirza Salaamat Ali Dabeer","Urdu poetry"
"Robert Gernhardt","Wilhelm Busch"
"Walter Pater","Heraclitus|Novalis"
"Phillip Blond","David Cameron"
"Félix Ravaisson-Mollien","Henri Bergson|Maurice Merleau-Ponty|Dominique Janicaud|Paul Ricœur|François Laruelle|Pierre Hadot|Martin Heidegger|Louis Lavelle"
"José María Rosa","Pacho O'Donnell"
"Damaris Cudworth Masham","Bertrand Russell|David Hume|Denis Diderot|Edmund Husserl|Friedrich Nietzsche|Gilles Deleuze|Gregory Chaitin|Henri Bergson|Immanuel Kant|Kurt Gödel|Bernardino Varisco|Gabriel Wagner|Giambattista Vico|Nicholas Rescher|Martin Heidegger|Theodor W. Adorno|Louis Gabriel Ambroise de Bonald|Lyndon LaRouche|Roger Joseph Boscovich|Émilie du Châtelet|Charles Bonnet|Gabriel Tarde|Johannes Nikolaus Tetens|Christian Wolff (philosopher)|Ferdinand Georg Frobenius|Pierre Louis Maupertuis|Ernst Platner|George Holmes Howison|Félix Ravaisson-Mollien"
"Anton Bacalbașa","George Ranete|Gheorghe Brăescu|Neagu Rădulescu"
"Jamie O'Neill","Brian O'Nolan"
"Nikolay Lossky","Nicolai Hartmann|Vladimir Lossky"
"Alfonsina Storni","Amado Nervo"
"Lloyd Alexander","T. H. White|George R. R. Martin|J. K. Rowling|Piers Anthony|Cassandra Clare|Clare B. Dunkle|Terry Pratchett|Terry Brooks|Katherine Paterson|Holly Black|Jim Butcher"
"Slavoj Žižek","Renata Salecl|Frank Ruda|Alenka Zupančič|Ian Parker (psychologist)|Srećko Horvat|Fredric Jameson|Terry Eagleton|Mark Fisher (theorist)|Adrian Johnston"
"Augusto Roa Bastos","Rafael Barrett"
"Henry James","Guy de Maupassant|Sheridan Le Fanu|Jules Barbey d'Aurevilly|Alexander Pushkin|Ivan Turgenev"
"Rahel Sanzara","Gottfried Benn"
"Robert Crais","Raymond Chandler|Robert B. Parker|Peter David"
"Jesse Bullington","Jeff VanderMeer"
"Jacques Le Goff","Cornelius Castoriadis"
"Chris Harman","Alex Callinicos"
"Alan Watts","Robert Anton Wilson|Seraphim Rose|Monica Furlong|Deepak Chopra"
"Russell Kirk","Edmund Burke"
"Andre Dubus","Richard Yates (novelist)|Tobias Wolff|Raymond Carver|Andre Dubus III|Jhumpa Lahiri|Richard Ford"
"George Mills (writer)","Anthony Buckeridge"
"Juan Vázquez de Mella","Osvaldo Lira"
"James Reaney","Jay Macpherson|Al Purdy|Margaret Atwood|Milton Acorn"
"Max Scheler","Edith Stein|Martin Heidegger|José Ortega y Gasset|Martin Buber"
"Anne Carson","Simone Weil"
"Silvina Bullrich","Beatriz Guido|Marta Lynch"
"Deon Meyer","Ekow Duker"
"Hendrik Conscience","Guido Gezelle|Leopold I|Jan van Beers"
"Max Frisch","Theophil Spoerri|Robert Faesi"
"Gabriela Zapolska","Jan August Kisielewski"
"Wilhelm Dilthey","Franz Boas|Hans-Georg Gadamer|Jürgen Habermas|Max Weber|Rudolf Steiner|Martin Heidegger|Karl Jaspers|Georg Simmel"
"William Godwin","Edmund Burke|Thomas Paine|Oscar Wilde|Mary Shelley|Percy Bysshe Shelley|Peter Kropotkin|William Thompson (philosopher)|Herbert Read|Robert Owen"
"Steven Erikson","Robert E. Howard|Roger Zelazny|David Keck|R. Scott Bakker"
"Ernst Cassirer","Susanne Langer|Wilbur Marshall Urban|Leo Strauss"
"Jean-Joseph Rabearivelo","Ny Avana Ramanantoanina|Elie Rajaonarison"
"Steven Millhauser","Robert Coover"
"Siegfried Sassoon","Henry Vaughan|Thomas Hardy|Henry Head|W. H. R. Rivers|Edmund Blunden|Robert Graves"
"Czesław Miłosz","Leopold Staff|Simone Weil"
"Robert M. Pirsig","Richard McKeon"
"Amvrosii Metlynsky","Mykhailo Hrushevsky"
"Jack Ketchum","T. M. Wright"
"Tim Jeal","Scouting"
"Christine Korsgaard","Austin Dacey"
"Sanford Kwinter","C. H. Waddington"
"Ibn Dihya al-Kalby","Ibn al-Salah"
"J. Jill Robinson","Raymond Carver"
"Rose Wilder Lane","Isabel Paterson|Laura Ingalls Wilder"
"Reza Davari Ardakani","Bijan Abdolkarimi"
"D. H. Lawrence","Herman Melville|Otto Gross|Thomas Hardy|Jens Peter Jacobsen|Lev Shestov|Aldous Huxley|Anaïs Nin|Dylan Thomas|Octavio Paz|Charles Bukowski|Anthony Burgess|Tennessee Williams|Joyce Carol Oates|Ronald Verlin Cassill|Doris Lessing"
"Théophile Gautier","Adam Mickiewicz"
"Friedrich Carl von Savigny","August von Bethmann-Hollweg"
"Eileen Chang","Yuan Ch'iung-ch'iung"
"Kit Fine","Arthur Prior"
"Louis Gabriel Ambroise de Bonald","Julius Evola|Carl Schmitt|Joseph de Maistre|Charles Maurras|Hugues Felicité Robert de Lamennais|François-René de Chateaubriand|Juan Donoso Cortés"
"Julie Garwood","Shane Bolks"
"Dominik Smole","France Prešeren|Marjan Rožanc|Taras Kermauner|Rudi Šeligo|Veno Taufer|Primož Kozak|Drago Jančar"
"Anthony Burgess","D. H. Lawrence|Ford Madox Ford|Vladimir Nabokov|Brian O'Nolan|Alasdair Gray"
"Tomaž Šalamun","Srečko Kosovel|Dane Zajc|Rudi Šeligo|Veno Taufer|Niko Grafenauer|Aleš Šteger|Uroš Zupan|Alojz Ihan"
"Fuzûlî","Nizami Ganjavi"
"Jane Austen","George Crabbe|Samuel Richardson"
"Willard Van Orman Quine","Daniel Dennett|Hao Wang (academic)|Donald Davidson (philosopher)|David Lewis (philosopher)|Hilary Kornblith|Gilbert Harman|Dagfinn Føllesdal|Hilary Putnam|Stephen Stich"
"Maria Luisa Spaziani","Eugenio Montale"
"Andrey Dikiy","Aleksandr Solzhenitsyn"
"Thornton Burgess","Joel Chandler Harris"
"Jane Mander","Jane Campion"
"Christian Cameron","Eric Rücker Eddison"
"Miguel Torga","Fernando Pessoa|José Riço Direitinho|Cristóvão de Aguiar"
"Santa Rita Durão","Luís de Camões"
"Paul Goodman","Charles Fourier|Otto Rank"
"Morris Raphael Cohen","Ernest Nagel|Sidney Hook"
"Stilpo","Asclepiades of Phlius|Zeno of Citium|Nicarete of Megara|Crates of Thebes|Menedemus"
"Jarosław Iwaszkiewicz","Leopold Staff"
"Milton A. Rothman","Tony Rothman"
"Brian O'Nolan","Robert Anton Wilson|Spike Milligan|Jamie O'Neill|Amanda Filipacchi|John Murray (novelist)|Dylan Moran|Anthony Burgess|Tommy Tiernan|Nicholson Baker"
"Matthew Arnold","Edmund Burke|Mordecai Kaplan|F. R. Leavis|T. S. Eliot|Don Cupitt|George Saintsbury|Florence Earle Coates|Lionel Trilling"
"Theodore Roszak (scholar)","Baby boomers"
"Jayakanthan","T. M. Chidambara Ragunathan"
"Frantz Fanon","Jean-Paul Sartre|Malcolm X|Steve Biko|Paulo Freire|Édouard Glissant|Edward Said|Achille Mbembe|Che Guevara|Lewis Gordon|Bobby Seale|Ali Shariati|Huey P. Newton"
"Giannina Braschi","Fernando Pessoa|Antonio Machado|Pedro Calderón de la Barca|Rubén Darío|Julia de Burgos|Seamus Heaney|Juan Ramón Jiménez|Luis Palés Matos|Julio Cortázar|Stanisław Ignacy Witkiewicz|Gustavo Adolfo Bécquer|Hannah Arendt"
"Robert Browning","Percy Bysshe Shelley|Christopher Smart"
"Lucian","Voltaire|Apuleius|Desiderius Erasmus|Laurence Sterne|Giacomo Leopardi|William Shakespeare|Baltasar Gracián|Gil Vicente|Johann Wolfgang von Goethe"
"Xavier Zubiri","Ignacio Ellacuría"
"Giuseppe Mazzini","Benito Mussolini|Giovanni Gentile|Italian Republican Party|Giuseppe Garibaldi"
"Jonathan Swift","Daniel Defoe"
"Goh Sin Tub","Edwin Thumboo"
"Jules Vuillemin","Jacques Bouveresse|Jean Bricmont"
"Sylvia Plath","Theodore Roethke|Ted Hughes|Stevie Smith|Robert Lowell|Kurt Cobain|Patti Smith|Arun Budhathoki|Adrienne Rich|Anne Sexton|Louise Glück|Elizabeth Bishop"
"Poppy Z. Brite","William S. Burroughs|Ramsey Campbell"
"Ron Padgett","Frank O'Hara"
"Clarence Irving Lewis","Nelson Goodman|Roderick Firth|Willard Van Orman Quine|William Frankena|Roderick Chisholm|Robert Paul Wolff"
"Sir William Hamilton, 9th Baronet","John Stuart Mill|John Veitch (poet)|James Hutchison Stirling|Herbert Spencer"
"Léon Brunschvicg","Alexandre Koyré|Jean Cavaillès|Louis Lavelle|Raymond Aron|Gaston Bachelard"
"Richard Wilbur","Robert Frost|Dana Gioia|A. E. Stallings|Joshua Mehigan"
"Branislav Nušić","Jovan Sterija Popović|Dušan Kovačević"
"Guy de Maupassant","Gustave Flaubert|Anton Chekhov|H. P. Lovecraft|Isaac Bashevis Singer|Robert Louis Stevenson|Tobias Wolff|Kate Chopin|O. Henry|W. Somerset Maugham|Raymond Carver|Louis-Ferdinand Céline|Henry James"
"S. J. Perelman","Robert Benchley"
"Norberto Bobbio","José Guilherme Merquior"
"Christian Jakob Kraus","Wilhelm von Humboldt"
"George Meredith","Thomas Hardy"
"Posidonius","Cicero|Livy|Plutarch|Jason of Nysa|Seneca the Younger|Strabo|Cleomedes|Diodorus Siculus"
"David Gemmell","Robert E. Howard"
"Daphne du Maurier","Stephen King|Stephenie Meyer"
"Douglas Murray (author)","Christopher Hitchens"
"Josiah Warren","John Stuart Mill|Benjamin Tucker|Stephen Pearl Andrews|Individualist anarchism in Europe"
"Charles Bernard Renouvier","William James"
"Vladimir Colin","A. Merritt|Bogdan Suceavă|Leonard Oprea"
"Martial","Juvenal"
"Joseph McElroy","William Gaddis|David Foster Wallace"
"Friedrich Schiller","Pedro Calderón de la Barca|Johann Wolfgang von Goethe|Karl Leonhard Reinhold"
"John D. Caputo","Richard Kearney|Gianni Vattimo|James K. A. Smith|Craig J. N. de Paulo|Peter Rollins"
"Tone Seliškar","Prežihov Voranc"
"Curt John Ducasse","Wilfrid Sellars|Roderick Chisholm"
"Milič Čapek","Gilles Deleuze|Isabelle Stengers|William Lane Craig|Rupert Sheldrake"
"Proclus","Ammonius Hermiae|Marsilio Ficino|Pseudo-Dionysius the Areopagite|Damascius|Marinus of Neapolis|Nicholas of Cusa|Thomas Aquinas"
"David Mamet","Harold Pinter|Quentin Tarantino|Brian Michael Bendis"
"Abdulla Qodiriy","Mukhtar Auezov"
"Adele Wiseman","Margaret Laurence"
"Ralph Waldo Emerson","Friedrich Nietzsche|Jorge Luis Borges|Henry David Thoreau|Walt Whitman|John Muir|William James|Harold Bloom"
"Panait Cerna","Demostene Botez|Ion Sân-Giorgiu|Alexandru Toma"
"Agustus Montrose","George Bernard Shaw|Joseph Conrad"
"J. M. E. McTaggart","Michael Dummett|Peter Geach"
"Richard Rorty","Jürgen Habermas|Richard Posner|Robert Brandom|Laurence BonJour|John McDowell|Gianni Vattimo|Michael Williams (philosopher)"
"Vanna Bonta","Giovanni Pascoli"
"Heinrich Rickert","Max Weber|George Vernadsky|Martin Heidegger|Emil Lask|Walter Benjamin"
"Daagh Dehlvi","Mohammad Ibrahim Zauq|Seemab Akbarabadi|Muhammad Iqbal|Jigar Moradabadi|Bekhud Badayuni"
"Henrik Lacaj","Ismail Kadare"
"Tobias Wolff","Guy de Maupassant|Richard Yates (novelist)|Raymond Carver|Andre Dubus|Larry Brown|Tom Perrotta|Tucker Max|David Sedaris|Laura Moriarty (novelist)|James Franco|Stephen Elliott (author)"
"Eliza Dorothea Cobbe, Lady Tuite","Frances Power Cobbe"
"Tucker Max","Tobias Wolff"
"Karl Rahner","Francis A. Sullivan"
"Vasily Grossman","Semyon Lipkin"
"Ahmet Hamdi Tanpınar","Oğuz Atay|Orhan Pamuk"
"Vasile Pogor","Theodor Rosetti|Alexandru Dimitrie Xenopol|Titu Maiorescu"
"Israr Ahmed","Sultan Bashiruddin Mahmood|Nouman Ali Khan|Zakir Naik"
"Sufyan al-Thawri","Dawud al-Zahiri"
"Motojirō Kajii","Modernism|Akira Yoshimura|Fuyuhiko Kitagawa|Yoshiharu Tsuge|Garo (magazine)|Shigeru Tonomura|Tatsuji Miyoshi"
"Roberto Bolaño","Raymond Chandler|John Kennedy Toole|Juan Rulfo"
"Napoleon Hill","W. Clement Stone|Og Mandino"
"Diane Wakoski","Sharon Olds"
"Raymond Aron","Henry Kissinger|Zbigniew Brzezinski|André Glucksmann"
"Baba Punhan","Mirza Alakbar Sabir"
"Martin Edwards (author)","Ruth Rendell"
"Yvan Goll","Galway Kinnell|Paul Celan"
"Mykhailo Drahomanov","Lesya Ukrainka"
"Journal Kyaw Ma Ma Lay","Khin Khin Htoo"
"Michael Moorcock","Edgar Rice Burroughs|Edward Plunkett, 18th Baron of Dunsany|J. G. Ballard|Poul Anderson|Robert E. Howard|Jack Vance|Leigh Brackett|T. H. White"
"Alexander McCall Smith","R. K. Narayan|E. F. Benson"
"Protagoras","Friedrich Nietzsche|Plato|Jeremy Bentham|F. C. S. Schiller"
"Nicolae Constantin Batzaria","Ion Creangă|Mircea Dinescu"
"Ferdinand de Saussure","Jacques Lacan|Leonard Bloomfield|Maurice Merleau-Ponty|Roman Jakobson|Louis Hjelmslev|Émile Benveniste|Roy Harris (linguist)|John Rupert Firth|Michel Foucault|Louis Althusser|Ernesto Laclau|Jacques Derrida|Walker Percy|Claude Lévi-Strauss|Roland Barthes|William Labov|Antoine Meillet|Sebastian Shaumyan|Jan Mukařovský|Prague school"
"Theognostus of Alexandria","Gregory of Nyssa|Catechetical School of Alexandria"
"Ľudovít Štúr","Johann Gottfried Herder"
"Muhammad Changiz Khan Tariqui","Urdu poetry"
"John Locke","Voltaire|Adam Smith|Arthur Schopenhauer|David Hume|Edmund Burke|George Berkeley|Immanuel Kant|Jean-Jacques Rousseau|Anthony Ashley-Cooper, 3rd Earl of Shaftesbury|Julien Offray de La Mettrie|Gershom Carmichael|Founding Fathers of the United States|Jonathan Edwards (theologian)|Thomas Paine|Mary Astell|Abraham Tucker|Étienne Bonnot de Condillac|Francis Hutcheson (philosopher)|Anthony Collins|John Toland"
"David B. Zilberman","Alexander Piatigorsky"
"Boethius","Dante Alighieri|Albertus Magnus|Medieval philosophy|Peter Abelard|Thomas Aquinas"
"Terry Dowling","Jack Vance"
"Muhamad Salih Dilan","Nalî|Kurdish literature"
"Claude Lévi-Strauss","Catherine Clément|Edmund Leach|Pierre Bourdieu|Philippe Descola"
"Rudolf Carnap","Kurt Gödel|Nelson Goodman|Willard Van Orman Quine|Thomas Kuhn"
"Comte de Lautréamont","Adam Mickiewicz|André Gide|William T. Vollmann|Philippe Soupault|André Breton|Tristan Tzara|Henri Michaux"
"John Ruskin","G. K. Chesterton|Marcel Proust|Geoffrey Hill|T. S. Eliot|William Morris"
"M. Stanton Evans","Michael Fumento|Maggie Gallagher|John Fund|Ann Coulter"
"Caroline Myss","Elisabeth Kübler-Ross"
"George Sylvester Morris","John Dewey"
"Walter Wink","William Stringfellow"
"Archytas","Eudoxus of Cnidus|Menaechmus"
"Normand Poirier","Pete Hamill"
"Clayton Rawson","John Dickson Carr"
"Thomas Bernhard","Witold Gombrowicz|Novalis|Javier Marías|W. G. Sebald|Elfriede Jelinek|Orhan Pamuk|Claire Messud|William Gaddis"
"Denise Levertov","William Carlos Williams"
"Juan Donoso Cortés","Louis Gabriel Ambroise de Bonald|Joseph de Maistre|Julius Evola|Nicolás Gómez Dávila|Juan Vázquez de Mella|Klemens von Metternich|Georges Sorel|Carl Schmitt|Miguel Primo de Rivera|Marcelino Menéndez y Pelayo"
"Muhammad Hamidullah","Contemporary Islamic philosophy"
"Walter of Bruges","Matthew of Aquasparta"
"George Santayana","Wallace Stevens|John Lachs"
"Abdurrahman Sharafkandi","Riza Talabani|Nalî|Ahmad Khani"
"Wolfgang Smith","Olavo de Carvalho"
"Émile Chartier","Georges Canguilhem|Jean Mistler|Raymond Aron|Simone Weil|André Maurois"
"Paul Kurtz","Carl Sagan|Steven Novella|Michael Shermer"
"John Jakes","Robert E. Howard"
"E. F. Benson","Alexander McCall Smith"
"José-Maria de Heredia","Leconte de Lisle"
"Ross Macdonald","Raymond Chandler|Peter Abrahams (American author)|Peter Spiegelman|Michael Connelly|William Goldman"
"Rudi Šeligo","Dane Zajc|Veno Taufer|Dominik Smole|Gregor Strniša|Dušan Jovanović (theatre director)|Tomaž Šalamun|Drago Jančar"
"Debiprasad Chattopadhyaya","Mircea Eliade"
"Al-Maʿarri","Turan Dursun"
"Allan Bloom","Francis Fukuyama|Alan Keyes|Harvey Mansfield|Thomas Pangle"
"Edvard Hoem","Henrik Wergeland"
"Elena Cornaro Piscopia","Laura Bassi"
"Avijit Roy","Gustave Flaubert|Simone de Beauvoir"
"Jacques Rivière","Alain-Fournier|Georges Poulet"
"C. L. Moore","Robert E. Howard"
"Anaxagoras","Archelaus (philosopher)|Pericles|George Gamow"
"Josip Murn","France Prešeren|Dragotin Kette|Srečko Kosovel|Jože Snoj|Edvard Kocbek|Dane Zajc|Miran Jarc|Alojz Gradnik|France Balantič"
"Bayazid Bastami","Abu al-Hassan al-Kharaqani|Muhammad Iqbal|Mansur Al-Hallaj"
"Faaiz Anwar","Urdu poetry|Hindi literature"
"Mantarō Kubota","Masao Kume"
"Ștefan Baciu","Urmuz|Păstorel Teodoreanu"
"Michel Houellebecq","Raël|Bret Easton Ellis|Louis-Ferdinand Céline"
"Allen Ginsberg","Arthur Rimbaud|William Carlos Williams|William S. Burroughs|Mark Van Doren|Richard Evans Schultes|Kenneth Patchen"
"Eileen Myles","Frank O'Hara"
"John MacLachlan Gray","William Gibson"
"Kitaro Nishida","Keiji Nishitani"
"Chuck Palahniuk","Ken Kesey|Mark Richard|Amy Hempel|Bret Easton Ellis|Don DeLillo"
"Cory Doctorow","William Gibson"
"Nikos Kazantzakis","Ion Dragoumis|Grigol Robakidze"
"John Henry Mackay","Benjamin Tucker|Max Stirner"
"Sándor Petőfi","Hungarian Revolution of 1848"
"Louise Bogan","Theodore Roethke"
"F. H. Bradley","T. S. Eliot"
"John Cooper Clarke","Roger McGough"
"Lev Shestov","D. H. Lawrence"
"Ritwik Ghatak","Mani Kaul|Adoor Gopalakrishnan|Ketan Mehta|Mira Nair|Kumar Shahani"
"Vissarion Belinsky","Nikolai Stankevich|Fyodor Dostoyevsky|Nikolay Nekrasov|Ivan Turgenev"
"Samuel Richardson","Charlotte Brontë|Henry Fielding|Jane Austen|Jean-Jacques Rousseau"
"Syed Zahoor Shah Hashmi","Pakistan|Zubaida Jalal Khan"
"Karl Emil Franzos","Stefan Zweig"
"Jonathan Rosenbaum","Manny Farber|Ignatiy Vishnevetsky"
"Anya Seton","Alison Weir"
"Jerry Fodor","Ernest Lepore"
"Sergiu Dan","Urmuz"
"Alain de Benoist","Patrice de Plunkett|Pat Buchanan|Marco Tarchi|Guillaume Faye|Martin A. Lee"
"Bob Shacochis","Barry Hannah"
"Christopher Priest (novelist)","J. G. Ballard"
"Dilawar Figar","Urdu poetry"
"Jean Toomer","George Gurdjieff"
"Zeno of Elea","Aristotle|Plato|Protagoras|Gorgias"
"Katherine V. Forrest","Lambda Literary Foundation|Spinsters Ink|Naiad Press"
"Mavis Gallant","William Keepers Maxwell, Jr."
"Jean Baudrillard","David Foster Wallace"
"Arthur Conan Doyle","Robert Louis Stevenson|Walter Scott|Fortuné du Boisgobey|William Crawford Honeyman"
"Renzo Novatore","Bruno Filippi|Severino Di Giovanni|Wolfi Landstreicher"
"Ivan Minatti","Dragotin Kette"
"Roger McGough","Benjamin Zephaniah|Attila the Stockbroker|The Medway Poets|Carol Ann Duffy|John Cooper Clarke|John Hegley"
"Henry Miller","Knut Hamsun|Oswald Spengler|Arthur Rimbaud|August Strindberg|François Rabelais|H. Rider Haggard|Louis-Ferdinand Céline|Otto Rank"
"Patrick Galvin","Gerry Murphy (poet)|Patrick Cotter|William Wall"
"Carlo Wolff","Sarah Pinborough|Bentley Little|Scott Sigler"
"Thomas Williams (writer)","John Irving|Bill Morrissey|Alice McDermott|Andre Dubus III"
"Carol Bowman","Roger Woolger"
"Mustafa Rahi","Urdu poetry"
"Pacho O'Donnell","José María Rosa"
"Elmore Leonard","Quentin Tarantino|Stephen King"
"John Pentland Mahaffy","Kuno Fischer"
"Pramoedya Ananta Toer","Tan Malaka|Eka Kurniawan|Benedict Anderson"
"Leucippus","Democritus"
"W. Somerset Maugham","Guy de Maupassant"
"Hisham ibn Urwah","Malik ibn Anas"
"Muhsin al-Hakim","Abdul Aziz al-Hakim|Muhammad Hussain Najafi"
"Tom Wolfe","Jack Kerouac|Ken Kesey"
"Iordan Chimet","Constant Tonegaru|Urmuz"
"Arthur M. Schlesinger, Jr.","Richard Hofstadter"
"Jim Tucker (journalist)","Alex Jones"
"Paul Heyse","Gustav Falke"
"William Crawford Honeyman","Arthur Conan Doyle"
"Dave Eggers","Lydia Davis|Robert Coover|Donald Barthelme"
"John Banim","Walter Scott|William Carleton|Gerald Griffin"
"Tatsuji Miyoshi","Motojirō Kajii"
"Emer de Vattel","Benjamin Franklin|George Washington|Alexander Hamilton|Western philosophy"
"Bapsi Sidhwa","Deepa Mehta"
"Scott Sigler","Carlo Wolff|J. C. Hutchins"
"Dieter Henrich","Panagiotis Kondylis|Manfred Frank"
"John Shannon (novelist)","Raymond Chandler|Robert Stone (novelist)"
"Saigyō","Matsuo Bashō"
"Jack Williamson","A. Merritt|Frederik Pohl|Isaac Asimov|Ray Bradbury"
"Tony Harrison","Jocelyn Herbert"
"C. N. Sreekantan Nair","C. V. Raman Pillai"
"Shakeb Jalali","Urdu poetry"
"Georg Wilhelm Friedrich Hegel","Francis Fukuyama|Jean-Paul Sartre|Karl Marx|Peter Singer|Søren Kierkegaard|Judith Butler|Walter Kaufmann (philosopher)|Benedetto Croce|Robert Brandom|Alexandre Kojève|Giovanni Gentile|Robert B. Pippin|Hans Küng|Friedrich Engels|Jacques Derrida|Martin Heidegger|Theodor W. Adorno|Gillian Rose|Heinrich Bernhard Oppenheim|Friedrich Wilhelm Carové|György Lukács|Wilhelm Dilthey|Johann Karl Friedrich Rosenkranz|Jean Hyppolite|Ludwig Feuerbach|James Doull|Bernard Bosanquet (philosopher)|Emil Fackenheim|David Strauss|Eduard Zeller|Slavoj Žižek|Herbert Marcuse|Kuno Fischer|Max Stirner|Vladimir Lenin|Johann Eduard Erdmann|Mário Ferreira dos Santos|F. H. Bradley|Heinrich Heine|Charles Taylor (philosopher)|Karl Barth|Karl Ludwig Michelet|Paul Tillich|Arthur Danto|Bruno Bauer|Simone de Beauvoir|Hermann Friedrich Wilhelm Hinrichs|Eduard Gans|John Russon"
"Johann Wolfgang von Goethe","Baruch Spinoza|Denis Diderot|Jean-Jacques Rousseau|Pedro Calderón de la Barca|Friedrich Wilhelm Joseph Schelling|James Macpherson|Johann Gottfried Herder|Lucian|Johann Georg Hamann|Johann Joachim Winckelmann|Richard Wagner|André Gide|Arthur Schopenhauer|Friedrich Nietzsche|Georg Wilhelm Friedrich Hegel|Hermann Hesse|Ludwig Wittgenstein|Oswald Spengler|Nikola Tesla|Rudolf Steiner|Sigmund Freud|Søren Kierkegaard|Machado de Assis|Charles Darwin|Günter Grass|Daisaku Ikeda|Carl Jung|Henry David Thoreau|Milan Kundera|Thomas Mann|Friedrich Wilhelm Joseph Schelling|Ernst Cassirer|Leopold von Ranke|France Prešeren|Muhammad Iqbal|Max Stirner|Thomas Carlyle|Jean-Baptiste Lamarck|Grigol Robakidze|Friedrich Schiller|Ivan Turgenev"
"Hélène Cixous","Avital Ronell"
"Hermann Hesse","Knut Hamsun|Friedrich Hölderlin|Julius Evola|Carl Jung|Jens Peter Jacobsen|Johann Wolfgang von Goethe|Novalis"
"Syed Shujaat Ali Qadri","Muhammad Muneeb ur Rehman"
"Caterina Albert","Narcís Oller"
"Pierre Schaeffer bibliography","Michel Chion"
"Roger Zelazny","Jack Vance|Lawrence Durrell|George R. R. Martin|Harlan Ellison|Neil Gaiman|Catherynne M. Valente|David A. Hargrave|Steven Brust|Joe Haldeman|Robert Silverberg|Walter Jon Williams|Jo Walton|Steven Erikson|Samuel R. Delany|Jane Lindskold"
"Charles Baudelaire","Ovid|Joseph de Maistre"
"Pierre de Ronsard","Horace"
"Austin Tappan Wright","Mark Saxton"
"Algernon Sidney","John Locke"
"David Chalmers","Tyler Burge|Gualtiero Piccinini"
"Paul Verlaine","Stéphane Mallarmé|Leconte de Lisle|Arthur Rimbaud|Tom Verlaine|Maksim Bahdanovič"
"A. L. Kennedy","Edwin Morgan (poet)|Alasdair Gray"
"Stanley Cavell","Robert H. Gardner|Shoshana Felman|Hent de Vries|Arnaud Desplechin|Michael Fried|Paul W. Franks|Charles Bernstein|Paul Guyer|Nader El-Bizri|Sandra Laugier|Toril Moi|Nancy Bauer|Cora Diamond|Cornel West|Vicki Hearne|Bernard Williams|Marc Shell|Nikolas Kompridis|James F. Conant|Thomas Kuhn|Stephen Mulhall|Alice Crary|Hilary Putnam|Terrence Malick|Claude Esteban|Jay Cantor|Arnold Davidson|Ross McElwee"
"Fereydoon Motamed","Bertrand Russell|Lawrence Paul Elwell-Sutton"
"Tahar Ben Jelloun","Taha Hussein"
"Nicolas Malebranche","Montesquieu|David Hume|George Berkeley|Gottfried Wilhelm Leibniz|Giambattista Vico|Louis Gabriel Ambroise de Bonald|Louis Lavelle|Joseph de Maistre|Jacob Bernoulli"
"John Varley (author)","Robert A. Heinlein"
"Mirza Alakbar Sabir","Jalil Mammadguluzadeh|Baba Punhan"
"Carolyn Kizer","Theodore Roethke"
"Pierre Bourdieu","Loïc Wacquant"
