"author","influencedby"
"John Stuart Mill","Charles Babbage|David Hume|Edmund Burke|Epicurus|George Berkeley|Alexander Bain|Alexis de Tocqueville|James Mill|Sir William Hamilton, 9th Baronet|Jeremy Bentham|Wilhelm von Humboldt|Josiah Warren|Auguste Comte|Claude Henri de Rouvroy, comte de Saint-Simon"
"Michel Bréal","Franz Bopp"
"Paul Celan","Friedrich Hölderlin|Yvan Goll"
"David Drake","Robert E. Howard|L. Sprague de Camp"
"Javed Ahmad Ghamidi","Shibli Nomani"
"Raymond Queneau","Alexandre Kojève"
"Noam Chomsky","David Hume|Immanuel Kant|René Descartes|Nelson Goodman|Mikhail Bakunin|Peter Kropotkin|Wilhelm von Humboldt|Jaklin Kornfilt"
"Jacques Derrida","Edmund Husserl|Ferdinand de Saussure|Georg Wilhelm Friedrich Hegel|Jean-Jacques Rousseau|Søren Kierkegaard|Friedrich Hölderlin|Alexandre Kojève|Paul Ricœur|Emmanuel Levinas|Martin Heidegger|Carl Schmitt|Kostas Axelos"
"Einar Niemi","Ingrid Semmingsen"
"William of Ockham","Duns Scotus|Peter Abelard"
"Pseudo-Dionysius the Areopagite","Proclus|Plotinus"
"Nancy Cartwright (philosopher)","Bas van Fraassen|Arthur Fine"
"Ghalib","Mir Taqi Mir|Baksh Nasikh"
"Jean-François Lyotard","Ludwig Wittgenstein|Wlad Godzich|Michel de Montaigne"
"Robin Hobb","Jack Vance"
"John O'Hara","William Keepers Maxwell, Jr."
"W. H. Pugmire","H. Warner Munn"
"Edmund Blunden","Siegfried Sassoon"
"Michael de Larrabeiti","Robert Louis Stevenson"
"Robert S. Corrington","Justus Buchler"
"Erkin Vohidov","Abdulla Qahhor"
"Tadeusz Różewicz","Leopold Staff"
"Ignatiy Vishnevetsky","Jonathan Rosenbaum"
"Mike Chinn","Ramsey Campbell"
"Louis-Ferdinand Céline","Gustave Flaubert|Guy de Maupassant|Arthur Rimbaud"
"Thomas M. Disch","J. G. Ballard"
"H. H. Price","Harold Arthur Prichard"
"Pierre Boutang","Charles Maurras|Gabriel Marcel"
"Félix Guattari","Gilles Deleuze|Gregory Bateson"
"Carlo Emilio Gadda","Carlo Dossi"
"Alice Munro","Stendhal|Margaret Laurence"
"Bret Easton Ellis","William Faulkner|Don DeLillo"
"Muhammad Husayn Tabataba'i","Amjad Jauhari|Mulla Sadra"
"Emmanuel Hocquard","Michael Palmer (poet)"
"Leo Tolstoy","George Eliot|Jean-Jacques Rousseau|Laurence Sterne|Stendhal|Henry George|Nikolai Gogol|Alexander Pushkin|Peter Kropotkin|Henry David Thoreau|Petr Chelčický|Mitrofan Lodyzhensky|African Spir"
"J. L. Austin","G. E. Moore|Gilbert Ryle"
"Fateh Muhammad Malik","Muhammad Iqbal"
"Evald Ilyenkov","Lev Vygotsky"
"Josipina Turnograjska","France Prešeren"
"Kevin Young (poet)","John Berryman"
"Moses Mendelssohn","Friedrich Heinrich Jacobi|Johann Heinrich Lambert"
"Simon Scarrow","Bernard Cornwell"
"Nicholas Moore","Meary James Thurairajah Tambimuttu"
"Julio Cortázar","Lawrence Durrell"
"Drago Jančar","Boris Pahor|Rudi Šeligo|Veno Taufer|Dominik Smole"
"Thomas Wolfe","Sherwood Anderson"
"Kenneth Binmore","John Harsanyi|Robert Sugden (economist)"
"Umberto Saba","Giacomo Leopardi|Scipio Slataper"
"François Mauriac","Maurice Barrès"
"Brand Blanshard","Josiah Royce"
"Tacitus","Personal life of Cicero|Writings of Cicero|Political career of Cicero"
"Gianni Vattimo","Richard Rorty|John D. Caputo"
"Othmar Spann","Adam Müller"
"Robert Frost","Thomas Hardy"
"Giovanni Boccaccio","Ovid"
"Philip Pettit","Niccolò Machiavelli"
"Eric Hobsbawm","Antonio Gramsci|Nikolai Kondratiev"
"J. P. Moreland","William Lane Craig"
"Hipparchia of Maroneia","Crates of Thebes"
"Ciril Zlobec","Srečko Kosovel|Dragotin Kette"
"Norbert Bolz","Jacob Taubes"
"Leopold Staff","Leconte de Lisle|Antoni Lange|Antoni Malczewski"
"Lars Norén","August Strindberg"
"H. Bonciu","Urmuz"
"Tao Lin","Lydia Davis|Ann Beattie|Joy Williams (American writer)|Richard Yates (novelist)|Bret Easton Ellis|Don DeLillo"
"Spider Robinson","Robert A. Heinlein|John D. MacDonald"
"Ion Luca Caragiale","Ion Heliade Rădulescu"
"Pete Hamill","Normand Poirier"
"J. G. Ballard","William S. Burroughs"
"Jože Snoj","France Balantič|Josip Murn|Gregor Strniša"
"Khalid Masud","Amin Ahsan Islahi"
"Muhammad Mahdi al-Jawahiri","Antarah ibn Shaddad|Al-Mutanabbi"
"Jacob Taubes","Carl Schmitt"
"Italo Calvino","Laurence Sterne|Giada Trebeschi"
"André Breton","Comte de Lautréamont|Alexandre Kojève|Charles Fourier"
"Catulle Mendès","Leconte de Lisle"
"Fyodor Dostoyevsky","Miguel de Cervantes|Adam Mickiewicz|Nikolai Gogol|Vissarion Belinsky|Alexander Pushkin|Vladimir Solovyov (philosopher)|Mikhail Lermontov"
"Oğuz Atay","Vladimir Nabokov|Ahmet Hamdi Tanpınar"
"Peter Abelard","Boethius"
"William T. Vollmann","Comte de Lautréamont|Yasunari Kawabata|Louis-Ferdinand Céline"
"Lee Child","John D. MacDonald"
